password_reuse,password_strength,password_change_freq,mfa_usage,click_unknown_links,verify_sender,report_suspicious_email,past_phishing_victim,training_completion,training_engagement,device_type,public_wifi_usage,unknown_usb_usage,social_media_oversharing,screen_lock_habit,credential_sharing,department,risk_level
Always,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Sometimes,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Once,Sales & Marketing,Severe
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Never,Never,Always,Open it to check,Never,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Never,Once,Sales & Marketing,High
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Sometimes,Open it to check,Once,Never,Skip when possible,Shared/public device,,,Frequently,Never,Never,Finance,High
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,Never,Always,Ignore it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Sales & Marketing,Low
Sometimes,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Always,Open it to check,More than once,Never,Skip when possible,,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,IT,High
Always,Simple (name/birthdate/common word),Never,Never,Rarely,Never,Open it to check,More than once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Rarely,Only after scanning it,Never,Never,Occasionally,Operations,High
Sometimes,Medium (word + numbers),Rarely,Always,"Yes, likely",Always,Report to IT/Security,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Rarely,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,HR,Moderate
,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),,Never,Never,Sometimes,Never,HR,Low
Never,Simple (name/birthdate/common word),Never,Never,Never,Always,Ignore it,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Occasionally,Always,Never,IT,Low
Always,"Long & random (12+ chars, mixed)",Never,Always,Never,Never,Report to IT/Security,More than once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Occasionally,Always,Once,Other,Moderate
Often,"Long & random (12+ chars, mixed)",Never,Always,Never,Sometimes,Delete it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Frequently,"Yes, if it looks harmless",Never,Sometimes,Once,Operations,Moderate
Always,,Never,Sometimes,Never,Never,Delete it,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Never,Occasionally,Sales & Marketing,Moderate
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Sales & Marketing,Severe
Never,Medium (word + numbers),Every 6-12 months,Always,Never,Never,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Occasionally,Operations,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,IT,High
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Sometimes,Never,Delete it,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Occasionally,Always,Never,HR,Moderate
Often,Medium (word + numbers),Every 6-12 months,Sometimes,Rarely,Never,Delete it,Never,Never,Skip when possible,Company-issued & managed,Frequently,Never,Occasionally,Always,Occasionally,Operations,Moderate
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,"Yes, if it looks harmless",Never,Sometimes,Never,Sales & Marketing,Low
Never,"Long & random (12+ chars, mixed)",Rarely,Never,Sometimes,Never,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Once,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Rarely,Never,Never,Always,Never,Operations,Low
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Never,Open it to check,Never,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Operations,High
Sometimes,Medium (word + numbers),Rarely,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Rarely,Never,Frequently,Always,Once,HR,Low
Never,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,"Yes, likely",Sometimes,Report to IT/Security,Once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Never,Never,Never,Operations,Moderate
Often,Medium (word + numbers),Never,Never,Sometimes,Always,Delete it,Once,Never,Attend but forget,Shared/public device,Rarely,Only after scanning it,Frequently,Sometimes,Never,Other,Moderate
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Rarely,Never,Open it to check,More than once,Never,Attend but forget,Personal device (BYOD),Rarely,Never,Never,Never,Never,Sales & Marketing,High
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Always,Ignore it,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Rarely,Never,Never,Sometimes,Never,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Sometimes,Always,Delete it,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Sometimes,Never,Operations,Low
Sometimes,Medium (word + numbers),Never,Always,Never,Sometimes,Report to IT/Security,Never,Never,Skip when possible,Shared/public device,Rarely,Only after scanning it,Never,Never,Never,Operations,Low
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,Open it to check,Once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Once,Sales & Marketing,High
Never,Simple (name/birthdate/common word),Never,Sometimes,Never,Sometimes,Ignore it,Never,"Yes, but over a year ago",Attend but forget,Shared/public device,Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,Other,Moderate
Never,Simple (name/birthdate/common word),Every 6-12 months,Always,Rarely,Never,Report to IT/Security,Never,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Never,Never,Never,Never,Other,Low
Always,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Rarely,Sometimes,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,Only after scanning it,Never,Sometimes,Never,HR,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Always,Never,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Never,Never,Never,Other,Low
Sometimes,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Sometimes,Once,Other,High
Always,Medium (word + numbers),Never,Sometimes,,Never,Ignore it,Never,Never,Attend but forget,Shared/public device,Frequently,Only after scanning it,Frequently,Never,Occasionally,Finance,High
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Sales & Marketing,Severe
Always,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,"Yes, likely",Sometimes,Report to IT/Security,Never,Never,Skip when possible,Personal device (BYOD),Rarely,Only after scanning it,Never,Never,Occasionally,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,Never,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Finance,Severe
Never,Simple (name/birthdate/common word),Every 1-3 months,Never,Never,Sometimes,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Never,Frequently,Sometimes,Occasionally,Finance,Moderate
Always,Simple (name/birthdate/common word),Rarely,Always,Never,,Open it to check,Never,Never,Skip when possible,Personal device (BYOD),Rarely,Never,Occasionally,Sometimes,Occasionally,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Always,Open it to check,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Never,Frequently,Sometimes,Occasionally,HR,High
Always,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Sometimes,Open it to check,Once,Never,Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Occasionally,Never,Once,Finance,Severe
Never,Simple (name/birthdate/common word),Every 6-12 months,,Never,Sometimes,Delete it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,,Never,Never,Sometimes,Once,Finance,Low
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Occasionally,Always,Occasionally,Operations,High
Never,"Long & random (12+ chars, mixed)",Never,Always,Rarely,Always,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Occasionally,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Sometimes,Never,Sometimes,Ignore it,Once,"Yes, but over a year ago",Attend but forget,Shared/public device,Rarely,Never,Occasionally,Never,Never,Operations,Low
Never,"Long & random (12+ chars, mixed)",Never,Always,Never,Always,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Sometimes,Once,Other,Low
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,"Yes, likely",Sometimes,Report to IT/Security,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Sometimes,Once,HR,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Only after scanning it,Never,Always,Never,HR,Low
Never,Simple (name/birthdate/common word),Rarely,Always,"Yes, likely",Always,Open it to check,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Never,Never,Occasionally,Sales & Marketing,Moderate
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Never,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Frequently,Sometimes,Occasionally,Sales & Marketing,Severe
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Always,Rarely,Sometimes,,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,,Only after scanning it,Frequently,Never,Once,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,"Yes, likely",Always,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Sometimes,Never,Operations,Low
Always,Simple (name/birthdate/common word),Never,Always,Sometimes,Never,Open it to check,More than once,Never,Attend but forget,Shared/public device,Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Operations,High
Always,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Always,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Never,Frequently,Never,Never,Operations,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Sometimes,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Never,Never,Occasionally,HR,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Never,Never,Open it to check,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Never,Always,Occasionally,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Rarely,Never,Frequently,Always,Once,Sales & Marketing,Low
Sometimes,Medium (word + numbers),Never,Sometimes,Never,Always,Delete it,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Never,Never,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Always,"Yes, likely",Always,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Never,Never,IT,Moderate
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,Never,Frequently,Sometimes,Once,HR,Severe
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,Never,Never,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Shared/public device,Never,Only after scanning it,Never,Sometimes,Never,Operations,Low
Always,Simple (name/birthdate/common word),Rarely,Never,Rarely,Always,Open it to check,Never,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Occasionally,Never,Once,IT,Moderate
Never,Medium (word + numbers),Every 1-3 months,Always,Rarely,Always,,Never,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Frequently,Always,Once,Operations,Low
Always,"Long & random (12+ chars, mixed)",Never,Sometimes,Rarely,Sometimes,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,"Yes, if it looks harmless",Occasionally,Sometimes,Never,Sales & Marketing,Low
Sometimes,"Long & random (12+ chars, mixed)",Never,Sometimes,Sometimes,Sometimes,Open it to check,Never,Never,"Very seriously, apply what I learn",Shared/public device,Frequently,Only after scanning it,Frequently,Never,Once,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Never,Never,Never,Open it to check,More than once,Never,Attend but forget,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Never,Simple (name/birthdate/common word),Rarely,Never,Rarely,Always,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Occasionally,Always,Never,HR,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Never,Never,Never,Always,Never,Finance,Low
Never,"Long & random (12+ chars, mixed)",Rarely,Always,Never,Sometimes,Delete it,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Never,Occasionally,Never,Never,HR,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Occasionally,Always,Occasionally,Other,Low
Never,Medium (word + numbers),Every 1-3 months,Always,Never,Always,Delete it,Never,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Always,Never,Sales & Marketing,Low
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Never,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Sometimes,Once,Finance,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Sometimes,Open it to check,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Never,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Finance,Severe
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Never,IT,Low
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,Rarely,Always,Delete it,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Always,Once,IT,Moderate
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Never,Ignore it,More than once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Only after scanning it,Never,Sometimes,Never,Other,Low
Always,Simple (name/birthdate/common word),Every 6-12 months,Always,Rarely,Sometimes,Delete it,Never,Never,Attend but forget,Company-issued & managed,Never,"Yes, if it looks harmless",Frequently,Always,Occasionally,Other,Low
Never,Medium (word + numbers),Never,Sometimes,"Yes, likely",Never,Report to IT/Security,Never,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Sometimes,Once,Finance,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Always,Never,Other,Low
Often,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,,Never,Report to IT/Security,,Never,"Very seriously, apply what I learn",Shared/public device,Never,Never,Occasionally,Sometimes,Once,Other,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,,Skip when possible,Personal device (BYOD),Frequently,Never,Frequently,Never,,Finance,Severe
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Sometimes,Always,Delete it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Occasionally,Never,Once,Operations,Low
Often,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Frequently,Never,Once,Operations,Severe
Often,Simple (name/birthdate/common word),Rarely,Sometimes,Never,Sometimes,Ignore it,Once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Sometimes,Simple (name/birthdate/common word),Rarely,Never,Never,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Never,"Yes, if it looks harmless",Frequently,Sometimes,Never,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Rarely,Always,Report to IT/Security,More than once,Never,Skip when possible,Company-issued & managed,Frequently,Never,Occasionally,Sometimes,Never,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Operations,Low
Often,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Occasionally,Always,Never,Finance,High
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,Never,Never,Ignore it,More than once,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Never,Finance,High
Never,Medium (word + numbers),Every 6-12 months,Sometimes,Never,Never,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Frequently,Sometimes,Occasionally,Finance,Moderate
Always,"Long & random (12+ chars, mixed)",Never,Sometimes,"Yes, likely",Always,Open it to check,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Never,"Yes, if it looks harmless",Never,Never,Occasionally,IT,Moderate
,,Every 1-3 months,Never,Rarely,Never,Report to IT/Security,Once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Never,Never,Never,IT,Moderate
Sometimes,Medium (word + numbers),Rarely,Always,Never,Always,Delete it,Never,Never,Attend but forget,Company-issued & managed,Rarely,Never,Occasionally,Always,Occasionally,Sales & Marketing,Low
Always,"Long & random (12+ chars, mixed)",Never,Sometimes,Rarely,Sometimes,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,Never,Occasionally,Never,Once,Sales & Marketing,High
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Occasionally,Sometimes,Never,IT,Low
Always,Medium (word + numbers),Never,Never,"Yes, likely",Never,Ignore it,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Only after scanning it,Never,Sometimes,Once,Sales & Marketing,Severe
Never,Simple (name/birthdate/common word),Never,Always,Rarely,Always,Open it to check,Once,Never,Attend but forget,Shared/public device,Frequently,Never,Never,Never,Once,Sales & Marketing,Moderate
Often,Medium (word + numbers),Every 1-3 months,Always,Never,Never,Open it to check,Never,Never,Attend but forget,Company-issued & managed,Never,Never,Never,Never,Occasionally,HR,Low
Always,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Never,Ignore it,,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Never,Once,Other,Severe
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Rarely,Never,Ignore it,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,Never,Frequently,Never,Occasionally,Sales & Marketing,Moderate
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,"Yes, likely",Never,Ignore it,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Never,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Never,Always,Ignore it,Never,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,Never,Frequently,Always,Occasionally,Finance,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Never,Always,Never,Other,Low
Never,Simple (name/birthdate/common word),Every 6-12 months,Never,,Sometimes,Report to IT/Security,More than once,Never,Skip when possible,Company-issued & managed,,Only after scanning it,Never,Never,Once,HR,Moderate
Sometimes,Medium (word + numbers),Rarely,Never,"Yes, likely",Sometimes,Open it to check,Never,Never,Attend but forget,Company-issued & managed,Never,Never,Frequently,Always,Once,HR,Low
Sometimes,Medium (word + numbers),Every 6-12 months,Always,Never,Always,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Frequently,Always,Occasionally,IT,Moderate
Sometimes,Simple (name/birthdate/common word),Never,Never,Never,Always,Open it to check,Once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Always,Occasionally,Other,Moderate
Always,Medium (word + numbers),Every 1-3 months,Always,Sometimes,Sometimes,Open it to check,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Never,Frequently,Always,Occasionally,HR,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Always,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Always,Never,Sales & Marketing,Low
Never,Medium (word + numbers),Every 6-12 months,Never,Rarely,Never,Delete it,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Frequently,Never,Never,Always,Never,Sales & Marketing,Low
Often,Medium (word + numbers),,Never,"Yes, likely",Never,Ignore it,Once,Never,Attend but forget,Shared/public device,Frequently,Only after scanning it,Frequently,Sometimes,Once,Sales & Marketing,High
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Shared/public device,Never,"Yes, if it looks harmless",Frequently,Always,Never,Sales & Marketing,Low
Sometimes,Simple (name/birthdate/common word),Never,Always,Never,Sometimes,Open it to check,,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Always,Occasionally,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Rarely,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),,"Yes, if it looks harmless",Occasionally,Always,Never,Other,Low
Always,"Long & random (12+ chars, mixed)",Rarely,Sometimes,"Yes, likely",,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,,Never,Never,Occasionally,Other,High
Always,Simple (name/birthdate/common word),Rarely,Sometimes,Rarely,Never,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Only after scanning it,Never,Always,Once,IT,Low
,Simple (name/birthdate/common word),Never,Never,"Yes, likely",,Ignore it,More than once,Never,Skip when possible,Shared/public device,Never,Never,Frequently,Never,Occasionally,Operations,Severe
Often,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Sometimes,Delete it,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Rarely,Only after scanning it,Never,Never,Once,HR,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Delete it,,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Frequently,Never,Never,HR,Low
Never,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Sometimes,Never,Open it to check,More than once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Only after scanning it,Never,Sometimes,Once,Operations,Moderate
Never,Medium (word + numbers),Every 6-12 months,Always,Never,Never,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Never,Never,Operations,Low
Never,Medium (word + numbers),Every 6-12 months,Always,Rarely,Always,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Frequently,Always,Never,Operations,Low
Sometimes,Medium (word + numbers),Every 6-12 months,Never,"Yes, likely",Always,Delete it,Once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Only after scanning it,Occasionally,Never,Occasionally,Finance,Moderate
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Sometimes,Open it to check,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Frequently,Sometimes,Occasionally,Finance,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,Never,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,HR,Severe
Often,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Sometimes,Report to IT/Security,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Occasionally,Always,Never,Operations,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Always,Ignore it,Once,Never,"Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Frequently,Never,Never,Sales & Marketing,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Always,Never,Finance,Low
